ID,ENGLISH,SPANISH,UKRAINIAN
LevelEditor,Level Editor,Editor de Niveles,Редактор
category.Structures,Structures,Estructuras,Структури
category.Decorations,Decorations,Decoraciones,Декорації
category.Activables,Activables,Accionables,Активуваньці
category.Traps,Traps,Trampas,Пастки
category.System,System,Sistema,Система
object.NONE,None,Ninguno,Ніякий
object.GROUND,Ground,Suelo,Підлога
object.CYAN_GROUND,Cyan Ground,Suelo Cyan,Голуба підлога
object.RED_GROUND,Red Ground,Suelo Rojo,Червона підлога
object.ORANGE_GROUND,Orange Ground,Suelo Naranja,Оранжева підлога
object.LARGE_GROUND,Large Ground,Suelo Grande,Велика підлога
object.GROUND_2,Ground 2,Suelo 2,Підлога 2
object.WALL,Wall,Pared,Стіна
object.WALL_NO_COLOR,Wall No Color,Pared Sin Color,Стіна без кольору
object.X_WALL,X Wall,Pared X,Стіна Х
object.WINDOW,Window,Ventana,Вікно
object.DIRECTIONAL_LIGHT,Directional Light,Luz Direccional,Направлене світло
object.POINT_LIGHT,Point Light,Luz Puntual,Точкове світло
object.CEILING_LIGHT,Ceiling Light,Lámpara,Стельове світло
object.VENT_WITH_SMOKE_GREEN,Vent With Smoke Green,Ventilación Verde,Вентиляція з зеленим димом
object.VENT_WITH_SMOKE_CYAN,Vent With Smoke Cyan,Ventilación Cyan,Вентиляція з голубим димом
object.HEALTH_PACK,Health Pack,Paquete de Salud,Аптечка
object.AMMO_PACK,Ammo Pack,Paquete de Munición,Патрони
object.SAW,Saw,Sierra,Пила
object.SAW_WAYPOINT,Saw Waypoint,Waypoint de Sierra,Проміжна точка пили
object.SWITCH,Switch,Interruptor,Перемикач
object.PLAYER_SPAWN,Player Spawn,Spawn del Jugador,Місце появи гравця
object.CUBE,Cube,Cubo,Куб
object.LASER,Laser,Laser,Лазер
object.FLAME_TRAP,Flame Trap,Trampa de Fuego,Вогнева пастка
object.COLLIDER,Collider,Colisión,Невидима стіна
object.END_TRIGGER,End Trigger,Trigger Final,Кінець
object.PRESSURE_PLATE,Pressure Plate,Placa de Presión,Нажимна плита
object.SCREEN,Screen,Pantalla,Екран
object.SMALL_SCREEN,Small Screen,Pantalla Pequeña,Малий екран
object.BREAKABLE_WINDOW,Breakable Window,Ventana Frágil,Крихке скло
object.TRIGGER,Trigger,Trigger,Трігер
object.DOOR,Door,Puerta,Двері
object.LASER_FIELD,Laser Field,Campo Laser,Лазерне поле
object.DOOR_V2,Door V2,Puerta V2,Двері V2
object.DEATH_TRIGGER,Death Trigger,Trigger de Muerte,Трігер смерті
object.WAYPOINT,Waypoint,Waypoint,Точка переміщення
object.JETPACK,Jetpack,Jetpack,Ранець
object.ARROW,Arrow,Flecha,Стрілка
object.GUN,Taser,Taser,Тазер
object.MOVING_PLATFORM,Moving Platform,Plataforma Movil,Рухома платформа
object.MOVING_PLATFORM_WAYPOINT,Moving Platform  Waypoint,Waypoint de Plataforma Movil,Точка переміщення рухомої платформа
object.CROW,Crow,Cuervo,Ворона
object.DESTRUCTIBLE_WALL,Fragile Wall,Pared Frágil,Крихка стіна
object.BRIDGE,Bridge,Puente,Міст
object.CUBE_KILLPLANE,Unauthorized Object,Objeto No Autorizado,Неавторизований об'єкт
object.KEYPAD,Keypad,Teclado,Циферблат
object.HEAL_AREA,Heal Area,Area de Curación,Лікувальна зона
object.RGB_WALL,Color Wall,Pared de Color,Кольорова стіна
object.MINE,Mine,Mina,Міна
object.DEATH_TRIGGER_WAYPOINT,Respawn Point,Punto de Reaparición,
object.SEQUENCE,Sequencer,Secuenciador,
object.SEQUENCE_WAYPOINT,Sequencer Step,Etapa del Secuenciador,
object.SEQUENCE_SCREEN,Sequence Screen,Pantalla del Secuenciador,
Player,Player,Jugador,Гравець
Jetpack,Jetpack,Mochila Propulsora,Джетпак
Taser,Taser,Taser,Тазер
events.WhenActivatingEvents,When Activating,Cuando Se Activa,Коли активне
events.WhenDeactivatingEvents,When Deactivating,Cuando Se Desactiva,Коли неактивне
events.WhenInvertingEvents,When Inverting,Cuando Se Invierte,Коли навпаки
events.OnDrop,On Drop,Cuando Se Suelta,Коли активне
events.OnRemove,On Remove,Cuando Se Remueve,Коли неактивне
events.OnBoth,On Both,Ambos Casos,На обох
